;CADASTRO DE INSUMOS ;;;;;;;
;INSUMOS; VALOR ;PESO (GRAMAS), LITRO(ML) OU QUANTIDADE;VALOR DO  KG,  LITRO , UNIDADE(MILHAR).;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
;;;;  ;;;;
