;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Atum Inteiro 20/30;500; R$34,90 ; R$17,45 ;;Farinha ;300; R$4,58 ; R$1,37 ;;Arroz Mirokumai;1000; R$9,60 ; R$9,60 ;;;;;;;;;;;;;;
;LKK Chilli Garlic;40; R$154,89 ; R$6,20 ;;Maizena;500; R$6,40 ; R$3,20 ;;Su;300; R$2,18 ; R$0,65 ;;;;;;;;;;;;;;
;Maionese;40; R$14,83 ; R$0,59 ;;Fermento;50; R$21,80 ; R$1,09 ;;Água;1100;  ;  ;;;;;;;;;;;;;;
;Hondashi;6; R$92,91 ; R$0,56 ;;Cachaça;50; R$12,23 ; R$0,61 ;;;;  ;  ;;;;;;;;;;;;;;
;Óleo de Gergelim;6; R$68,31 ; R$0,41 ;;Água sem Gás;200; R$1,78 ; R$0,36 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Açúcar;15; R$3,70 ; R$0,06 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;Sal;5; R$1,45 ; R$0,01 ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;592;; R$25,21 ;;Peso Total;1120;; R$6,69 ;;Peso Total;2400;; R$10,25 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;592;PREÇO/KG ?; R$42,58 ;;PESO DEPOIS DE PRONTO;1120;PREÇO/KG ?; R$5,98 ;;PESO DEPOIS DE PRONTO;2640;PREÇO/KG ?; R$3,88 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Chimichurri;;;;;Molho Passion;;;;;Inca Maki;;;;;;;;;;;;;;;;;
;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;INGREDIENTES;PESO;VALOR/QUILO; VALOR ;;;;;;;;;;;;;;
;Salsinha;500; R$1,99 ; R$1,00 ;;Maracujá;30000; R$6,00 ; R$180,00 ;;Shari;90; R$3,88 ; R$0,35 ;;;;;;;;;;;;;;
;Alho;30; R$22,90 ; R$0,69 ;;Açúcar;3000; R$3,70 ; R$11,10 ;;Alga Gold;1000; R$0,20 ; R$0,20 ;;;;;;;;;;;;;;
;Azeite de Oliva;100; R$39,00 ; R$3,90 ;;;;  ;  ;;Cream Cheese;20; R$33,92 ; R$0,68 ;;;;;;;;;;;;;;
;Vinagre;50; R$2,10 ; R$0,11 ;;;;  ;  ;;Salmão Filé;60; R$90,00 ; R$5,40 ;;;;;;;;;;;;;;
;Cebolinha;500; R$2,59 ; R$1,30 ;;;;  ;  ;;Gergelim ;1; R$35,90 ; R$0,04 ;;;;;;;;;;;;;;
;Togarashi;5; R$376,83 ; R$1,88 ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;;;  ;  ;;;;  ;  ;;;;  ;  ;;;;;;;;;;;;;;
;Peso Total;1185;; R$8,87 ;;Peso Total;33000;; R$191,10 ;;Peso Total;10;; R$6,66 ;;;;;;;;;;;;;;
;PESO DEPOIS DE PRONTO;1185;PREÇO/KG ?; R$7,48 ;;PESO DEPOIS DE PRONTO;3000;PREÇO/KG ?; R$63,70 ;;PESO DEPOIS DE PRONTO;10;PREÇO/KG ?; R$665,88 ;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
